name,ring,quadrant,description
Airflow,Adopt,Platforms,"[Airflow](https://airflow.apache.org/) uses directed acyclic graphs (DAGs) to manage workflow orchestration. Tasks and dependencies are defined in Python, and then Airflow manages the scheduling and execution.

In Skai, Airflow is used by many teams for various use cases. It is hosted on [Astronomer](https://www.astronomer.io/) and has full CI/CD support."
Amazon SageMaker,Trial,Platforms,"[Amazon SageMaker (SM)](https://aws.amazon.com/sagemaker/) is a fully-managed service that enables data scientists and developers to build quickly, train, and deploy machine learning models at scale. 

In Skai, SM is used across all ML projects. However, SM is not an ML platform but a collection of building blocks that requires some heavy-lifting to develop and deliver an ML project. See the ML Platform item for more on this."
API Gateway,Adopt,Tools,"API Gateway is used to manage and expose backend APIs securely. In Skai, we use [Kong](https://konghq.com/kong) as the gateway for public APIs.

In addition, we use the API Gateway internally in the following scenarios:
1. To solve CORS issues, usually when the UI needs to call a backend service directly.
2. To trigger AWS Lambdas via REST calls. In this case, we use [AWS API Gateway](https://aws.amazon.com/api-gateway/).

Kong configuration management is done using an internal tool called [king-kong](https://medium.com/kenshoos-engineering-blog/king-of-our-kong-how-we-built-a-configuration-management-tool-for-kong-b1bd4757365a)."
AWS Lambda,Trial,Platforms,"[AWS Lambda](https://aws.amazon.com/lambda/) is a serverless compute service that runs code in response to events and automatically manages the underlying compute resources. As a result, it improves resource utilization, enables event-driven architectures and reduces the operations hassle.

In Skai, so far, we've been utilizing Lambda primarily for operations. However, with the Infrastructure-as-Code enablement (provided with [Pulumi](https://www.pulumi.com/)), Lambda is becoming accessible for all application teams. 

You can start using Lambda, especially for fast proof-of-concept implementations, without managing new microservices."
BDD (Behaviour-driven development) ,Trial,Techniques,"[BDD (Behaviour-driven development)](https://en.wikipedia.org/wiki/Behavior-driven_development) means writing tests using [Cucumber](https://cucumber.io/)/ [Karate](https://karatelabs.github.io/karate/) to describe the behavior of the feature before developing it. 

In Skai, some teams already work this way and can find critical defects, reduce dev time, increase the trust in tests coverage, etc."
Clean Code,Adopt,Techniques,"[Clean code](https://learning.oreilly.com/library/view/clean-code-a/9780136083238/) is a set of principles for writing high-quality and maintainable code. 

In Skai, we promote & practice clean code methodologies as part of our onboarding, development and code review processes."
Data Mesh,Trial,Techniques,"[Data Mesh](https://martinfowler.com/articles/data-mesh-principles.html) is a data platform architecture that encourages teams' ownership of their data by providing self-serve tooling and over-arching governance. 

In Skai, we're rebuilding our data platform according to the data mesh principles."
Formik (Form state management library),Adopt,Languages & frameworks,"[Formik](https://formik.org/) provides a simplified way of managing the state and validations in a React form. 

In Skai, we trialed with Formik in numerous Skai UI components and found it valuable. Using it ensures that we do not write our state management and validation solution in every dialog, reducing the resources required to deliver features."
Gradle,Adopt,Tools,"[Gradle](https://gradle.org/) is our tool of choice for building JVM-based projects. It's been proven to be more effective and flexible than its alternatives (Maven, SBT). 

In Skai, we've built significant expertise and a toolset (e.g., plugins) that makes Gradle optimal for our needs. Therefore, JVM projects not using Gradle should be migrated to Gradle. "
GraphQL,Trial,Languages & frameworks,"[GraphQL](https://graphql.org/) is a query language for APIs and a runtime for fulfilling those queries with your existing data. GraphQL provides a complete and understandable description of the data in your API, gives clients the power to ask for exactly what they need and nothing more, makes it easier to evolve APIs over time, and enables powerful developer tools.

In Skai, we assessed the technology in a POC and are looking for the opportunity to validate our assumptions in a real-world scenario. The benefit of this tech is to allow a single UI application to have a more flexible interface with a broad range of microservices. In addition, the planned Spring Boot 2.7 native support for GraphQL should simplify using it as part of our backend stack."
