name,ring,quadrant,description,prev_ring
Amazon SageMaker,Adopt,Platforms,"[Amazon SageMaker (SM)](https://aws.amazon.com/sagemaker/)is a fully-managed service that enables data scientists and developers to build quickly, train, and deploy machine learning models at scale.

In Skai, SM is used across all ML projects. However, SM is not an ML platform but a collection of building blocks that requires some heavy lifting to develop and deliver an ML project.

In Skai we use SM in production for several products, usually for products that involve both Development and Data Science teams' code.",Trial
AWS Lambda,Adopt,Platforms,"[AWS Lambda](https://aws.amazon.com/lambda/) is a serverless compute service that runs code in response to events and automatically manages the underlying compute resources. As a result, it improves resource utilization, enables event-driven architectures and reduces the operations hassle.

In Skai, AWS Lambda is already well adopted and made accessible to all applications teams by template repos and automated provisioning using Pulumi.
Teams can start using Lambda, especially for fast proof-of-concept implementations, without managing new microservices.",Trial
BDD (Behaviour-driven development) ,Adopt,Techniques,"[BDD (Behaviour-driven development)](https://en.wikipedia.org/wiki/Behavior-driven_development) means writing tests using [Cucumber](https://cucumber.io/)/ [Karate](https://karatelabs.github.io/karate/) to describe the behavior of the feature before developing it. 

In Skai, teams already work this way and can find critical defects, reduce dev time, and increase trust in test coverage.",Trial
Data Mesh,Adopt,Techniques,"[Data Mesh](https://martinfowler.com/articles/data-mesh-principles.html) is a data platform architecture that encourages teams' ownership of their data by providing self-serve tooling and over-arching governance. 

In Skai, we're rebuilding our data platform according to the data mesh principles.",Trial
Java 17,Adopt,Languages & frameworks,"Java 17 is the latest LTS Java version, containing many improvements that allow us to write code that is both more concise and safer than before. 

In Skai, Java 17 is the default version for new Java microservices. A full-on migration plan for existing services is yet to come.",Trial
Microservices: Prefer API tests for BDD,Adopt,Techniques,"In Skai, our microservice templates contain infrastructure for creating two types of behavioral tests - API tests (using [Karate](https://karatelabs.github.io/karate/)) and in-process integration tests (using [Cucumber](https://cucumber.io/)). We should opt for an API test for microservices whose primary interfaces are RESTful.

The benefits of API tests over Cucumber tests outweigh their downsides: they cover more functionality (e.g., HTTP statuses) with little-to-no extra effort; They provide an excellent source of documentation (thanks to Karate's syntax); They test the application in complete isolation, closest to production. And they can easily be reused as Smoke tests in staging and production when relevant. One should fall back to using Cucumber only in the rare cases where API tests are insufficient, e.g., when a component of the application must be replaced with a stub or when necessary test data can't be populated via an API call. ",Trial
Pulumi,Adopt,Platforms,"[Pulumi](https://www.pulumi.com/) is an Infrastructure-as-Code (IaC) framework allowing one to spin up cloud resources using native programmatic languages, such as Python, and maintain their state using its managed platform.

In Skai, Pulumi is well-adopted by the DevOps group to replace [Terraform](https://www.terraform.io/) for managing cloud resources. It is now also approachable for the application development teams to use it as a self-serve cloud resources management tool, increasing their ability to own their services fully.",Trial
Data Catalog,Assess,Tools,"A data catalog is a centralized repository or database that provides information about the organization's data assets, including metadata, data lineage, data quality, and access permissions. It serves as a searchable index or directory of all the data sources and their attributes that exist within an organization.

A data catalog is important for an organization because it provides a comprehensive view of the organization's data assets, enabling users to easily find, understand, and use the data they need for their business operations. Furthermore, a data catalog helps to enhance collaboration and communication between different teams within the organization, as they can all access and share the same information about data assets.",New
Data Observability,Trial,Tools,"Data observability includes using machine learning algorithms for automated data anomaly monitoring and alerting, tracing data lineage, and enforcing business rules on incoming data. These tools help accelerate data incident resolution or avoid incidents by proactively stopping bad data from reaching customers. 

We strongly believe this is a critical component in our data architecture.",New
Data questionnaire (internal),Adopt,Techniques,"When working with data, we must understand its properties, limitations, and lifecycle. Any project adding a new type of data source or dataset should include in their high-level design answers based on our internal Data Questionnaire Template. This template can be found under the resources section of our internal High-Level Design template).",New
